,Unnamed: 1,Unnamed: 2
1164,exacerbates,-2.0
1165,exacerbating,-2.0
1166,exaggerate,-2.0
1167,exaggerated,-2.0
1168,exaggerates,-2.0
1169,exaggerating,-2.0
1170,exasparate,-2.0
1171,exasperated,-2.0
1172,exasperates,-2.0
1173,exasperating,-2.0
1174,excellence,3.0
1175,excellent,3.0
1176,excite,3.0
1177,excited,3.0
1178,excitement,3.0
1179,exciting,3.0
1180,exclude,-1.0
1181,excluded,-2.0
1182,exclusion,-1.0
1183,exclusive,2.0
1184,excruciatingly,-1.0
1185,excuse,-1.0
1186,exempt,-1.0
1187,exhausted,-2.0
1188,exhilarated,3.0
1189,exhilarates,3.0
1190,exhilarating,3.0
1191,exonerate,2.0
1192,exonerated,2.0
1193,exonerates,2.0
1194,exonerating,2.0
1195,expand,1.0
1196,expands,1.0
1197,expel,-2.0
1198,expelled,-2.0
1199,expelling,-2.0
1200,expels,-2.0
1201,expertly,2.0
1202,exploit,-2.0
1203,exploited,-2.0
1204,exploiting,-2.0
1205,exploits,-2.0
1206,exploration,1.0
1207,explorations,1.0
1208,expose,-1.0
1209,exposed,-1.0
1210,exposes,-1.0
1211,exposing,-1.0
1212,exquisite,3.0
1213,extend,1.0
1214,extends,1.0
1215,extremist,-2.0
1216,extremists,-2.0
1217,exuberant,4.0
1218,exultant,3.0
1219,exultantly,3.0
1220,fabulous,4.0
1221,fabulously,4.0
1222,fad,-2.0
1223,fag,-3.0
1224,faggot,-3.0
1225,faggots,-3.0
1226,fail,-2.0
1227,failed,-2.0
1228,failing,-2.0
1229,fails,-2.0
1230,failure,-2.0
1231,failures,-2.0
1232,fainthearted,-2.0
1233,fair,2.0
1234,fairness,2.0
1235,faith,1.0
1236,faithful,3.0
1237,fake,-3.0
1238,faker,-3.0
1239,fakes,-3.0
1240,faking,-3.0
1241,fallen,-2.0
1242,falling,-1.0
1243,false,-1.0
1244,falsely,-2.0
1245,falsified,-3.0
1246,falsify,-3.0
1247,fame,1.0
1248,famine,-2.0
1249,famous,2.0
1250,fan,3.0
1251,fantastic,4.0
1252,farce,-1.0
1253,fascinate,3.0
1254,fascinated,3.0
1255,fascinates,3.0
1256,fascinating,3.0
1257,fascination,3.0
1258,fascist,-2.0
1259,fascists,-2.0
1260,fatal,-3.0
1261,fatalities,-3.0
